motif	gene_symbol
HEY1.H13CORE.0.S.B	HEY1
HEY2.H13CORE.0.S.B	HEY2
CUX1.H13CORE.0.PM.A	CUX1
CUX1.H13CORE.1.S.B	CUX1
CUX1.H13CORE.2.P.C	CUX1
CUX2.H13CORE.0.P.C	CUX2
CUX2.H13CORE.1.SM.B	CUX2
CUX2.H13CORE.2.S.C	CUX2
HNF6.H13CORE.0.PM.A	ONECUT1
HNF6.H13CORE.1.S.B	ONECUT1
HNF6.H13CORE.2.S.B	ONECUT1
HNF6.H13CORE.3.M.B	ONECUT1
ONEC2.H13CORE.0.S.B	ONECUT2
ONEC2.H13CORE.1.PM.A	ONECUT2
ONEC2.H13CORE.2.S.B	ONECUT2
ONEC2.H13CORE.3.P.B	ONECUT2
ONEC3.H13CORE.0.S.B	ONECUT3
ONEC3.H13CORE.1.S.C	ONECUT3
ONEC3.H13CORE.2.M.C	ONECUT3
SATB1.H13CORE.0.P.B	SATB1
SATB1.H13CORE.1.P.B	SATB1
ISL1.H13CORE.0.PSM.A	ISL1
ISL2.H13CORE.0.SM.B	ISL2
LHX1.H13CORE.0.S.C	LHX1
LHX1.H13CORE.1.M.C	LHX1
LHX2.H13CORE.0.PS.A	LHX2
LHX2.H13CORE.1.S.C	LHX2
LHX3.H13CORE.0.P.B	LHX3
LHX4.H13CORE.0.SM.B	LHX4
LHX5.H13CORE.0.PSM.A	LHX5
LHX6.H13CORE.0.P.B	LHX6
LHX6.H13CORE.1.S.B	LHX6
LHX6.H13CORE.2.M.C	LHX6
LHX8.H13CORE.0.S.B	LHX8
LHX8.H13CORE.1.M.C	LHX8
LHX9.H13CORE.0.PS.A	LHX9
LHX9.H13CORE.1.M.B	LHX9
LMX1A.H13CORE.0.SM.B	LMX1A
LMX1B.H13CORE.0.P.C	LMX1B
LMX1B.H13CORE.1.SM.B	LMX1B
LMX1B.H13CORE.2.S.B	LMX1B
PROX1.H13CORE.0.SM.B	PROX1
SIX1.H13CORE.0.P.B	SIX1
SIX1.H13CORE.1.SM.B	SIX1
SIX2.H13CORE.0.P.B	SIX2
SIX2.H13CORE.1.M.C	SIX2
SIX2.H13CORE.2.SM.B	SIX2
SIX3.H13CORE.0.SM.B	SIX3
SIX4.H13CORE.0.P.B	SIX4
SIX4.H13CORE.1.M.C	SIX4
SIX6.H13CORE.0.SM.B	SIX6
HOMEZ.H13CORE.0.S.B	HOMEZ
TSHZ2.H13CORE.0.SG.A	TSHZ2
ZEB1.H13CORE.0.P.B	ZEB1
ZEB2.H13CORE.0.P.B	ZEB2
NFYA.H13CORE.0.P.B	NFYA
NFYB.H13CORE.0.P.B	NFYB
NFYC.H13CORE.0.P.B	NFYC
HMGA1.H13CORE.0.P.B	HMGA1
CDX1.H13CORE.0.M.B	CDX1
CDX1.H13CORE.1.S.B	CDX1
CDX2.H13CORE.0.PS.A	CDX2
CDX2.H13CORE.1.M.C	CDX2
CDX4.H13CORE.0.S.C	CDX4
CDX4.H13CORE.1.M.C	CDX4
EVX1.H13CORE.0.SM.B	EVX1
EVX2.H13CORE.0.SM.B	EVX2
EVX2.H13CORE.1.S.B	EVX2
GBX1.H13CORE.0.S.B	GBX1
GBX1.H13CORE.1.S.B	GBX1
GBX2.H13CORE.0.SM.B	GBX2
GBX2.H13CORE.1.S.B	GBX2
GSX1.H13CORE.0.SM.B	GSX1
GSX2.H13CORE.0.SM.B	GSX2
HXA1.H13CORE.0.SM.B	HOXA1
HXA1.H13CORE.1.S.B	HOXA1
HXA10.H13CORE.0.S.B	HOXA10
HXA10.H13CORE.1.M.B	HOXA10
HXA11.H13CORE.0.PS.A	HOXA11
HXA11.H13CORE.1.SM.B	HOXA11
HXA13.H13CORE.0.P.B	HOXA13
HXA13.H13CORE.1.SM.B	HOXA13
HXA2.H13CORE.0.SM.B	HOXA2
HXA4.H13CORE.0.SM.B	HOXA4
HXA5.H13CORE.0.SM.B	HOXA5
HXA6.H13CORE.0.SM.B	HOXA6
HXA7.H13CORE.0.SM.B	HOXA7
HXA9.H13CORE.0.P.B	HOXA9
HXA9.H13CORE.1.SM.B	HOXA9
HXA9.H13CORE.2.P.B	HOXA9
HXB1.H13CORE.0.SM.B	HOXB1
HXB13.H13CORE.0.PS.A	HOXB13
HXB13.H13CORE.1.SM.B	HOXB13
HXB2.H13CORE.0.SM.B	HOXB2
HXB3.H13CORE.0.S.B	HOXB3
HXB4.H13CORE.0.P.B	HOXB4
HXB4.H13CORE.1.PSM.A	HOXB4
HXB5.H13CORE.0.SM.B	HOXB5
HXB6.H13CORE.0.SM.B	HOXB6
HXB7.H13CORE.0.P.C	HOXB7
HXB7.H13CORE.1.SM.B	HOXB7
HXB8.H13CORE.0.PSM.A	HOXB8
HXB9.H13CORE.0.S.C	HOXB9
HXB9.H13CORE.1.M.C	HOXB9
HXC10.H13CORE.0.P.B	HOXC10
HXC10.H13CORE.1.S.B	HOXC10
HXC10.H13CORE.2.SM.B	HOXC10
HXC11.H13CORE.0.SM.B	HOXC11
HXC11.H13CORE.1.S.B	HOXC11
HXC12.H13CORE.0.SM.B	HOXC12
HXC13.H13CORE.0.SM.B	HOXC13
HXC4.H13CORE.0.SM.B	HOXC4
HXC8.H13CORE.0.SM.B	HOXC8
HXC9.H13CORE.0.P.B	HOXC9
HXC9.H13CORE.1.S.C	HOXC9
HXC9.H13CORE.2.M.C	HOXC9
HXD1.H13CORE.0.SM.B	HOXD1
HXD10.H13CORE.0.SM.B	HOXD10
HXD11.H13CORE.0.PS.A	HOXD11
HXD11.H13CORE.1.SM.B	HOXD11
HXD12.H13CORE.0.SM.B	HOXD12
HXD13.H13CORE.0.PS.A	HOXD13
HXD13.H13CORE.1.SM.B	HOXD13
HXD3.H13CORE.0.SM.B	HOXD3
HXD4.H13CORE.0.SM.B	HOXD4
HXD8.H13CORE.0.SM.B	HOXD8
HXD9.H13CORE.0.SM.B	HOXD9
MEOX1.H13CORE.0.SM.B	MEOX1
MEOX2.H13CORE.0.SM.B	MEOX2
MNX1.H13CORE.0.SM.B	MNX1
PDX1.H13CORE.0.P.B	PDX1
PDX1.H13CORE.1.PSM.A	PDX1
HSF1.H13CORE.0.PSM.A	HSF1
HSF1.H13CORE.1.P.B	HSF1
HSF1.H13CORE.2.P.B	HSF1
HSF2.H13CORE.0.PSM.A	HSF2
HSF4.H13CORE.0.SM.B	HSF4
HSF5.H13CORE.0.M.C	HSF5
HSF5.H13CORE.1.S.C	HSF5
HSFY1.H13CORE.0.S.B	HSFY1
HSFY1.H13CORE.1.S.B	HSFY1
HSFY1.H13CORE.2.M.B	HSFY1
IRF1.H13CORE.0.P.B	IRF1
IRF2.H13CORE.0.PSM.A	IRF2
IRF3.H13CORE.0.PS.A	IRF3
IRF3.H13CORE.1.SM.B	IRF3
IRF4.H13CORE.0.P.B	IRF4
IRF4.H13CORE.1.S.B	IRF4
IRF4.H13CORE.2.SM.B	IRF4
IRF5.H13CORE.0.SM.B	IRF5
IRF5.H13CORE.1.S.B	IRF5
IRF6.H13CORE.0.SM.B	IRF6
IRF6.H13CORE.1.S.C	IRF6
IRF7.H13CORE.0.S.B	IRF7
IRF7.H13CORE.1.SM.B	IRF7
IRF8.H13CORE.0.P.B	IRF8
IRF8.H13CORE.1.SM.B	IRF8
IRF8.H13CORE.2.SM.B	IRF8
IRF9.H13CORE.0.PSM.A	IRF9
ATF2.H13CORE.0.PSM.A	ATF2
ATF2.H13CORE.1.P.B	ATF2
ATF7.H13CORE.0.PSM.A	ATF7
BACH1.H13CORE.0.P.B	BACH1
BACH2.H13CORE.0.P.B	BACH2
BACH2.H13CORE.1.SM.B	BACH2
CREB5.H13CORE.0.P.B	CREB5
CREB5.H13CORE.1.SM.B	CREB5
JUN.H13CORE.0.P.B	JUN
JUN.H13CORE.1.S.C	JUN
JUNB.H13CORE.0.PM.A	JUNB
JUNB.H13CORE.1.S.C	JUNB
JUND.H13CORE.0.PM.A	JUND
JUND.H13CORE.1.SM.B	JUND
NF2L1.H13CORE.0.P.B	NFE2L1
NF2L2.H13CORE.0.P.B	NFE2L2
NF2L2.H13CORE.1.P.B	NFE2L2
NFE2.H13CORE.0.P.B	NFE2
NFE2.H13CORE.1.SM.B	NFE2
LRRF1.H13CORE.0.P.B	LRRFIP1
MAF.H13CORE.0.PM.A	MAF
MAF.H13CORE.1.PSM.A	MAF
MAFA.H13CORE.0.PSM.A	MAFA
MAFA.H13CORE.1.M.C	MAFA
MAFB.H13CORE.0.PS.A	MAFB
MAFB.H13CORE.1.P.B	MAFB
MAFF.H13CORE.0.PSM.A	MAFF
MAFF.H13CORE.1.PSM.A	MAFF
MAFG.H13CORE.0.PSM.A	MAFG
MAFG.H13CORE.1.PSM.A	MAFG
MAFK.H13CORE.0.PS.A	MAFK
MAFK.H13CORE.1.P.B	MAFK
MAFK.H13CORE.2.S.B	MAFK
NRL.H13CORE.0.SM.B	NRL
NRL.H13CORE.1.SM.B	NRL
MBD3.H13CORE.0.P.B	MBD3
ATMIN.H13CORE.0.P.B	ATMIN
BCL6.H13CORE.0.PSM.A	BCL6
BCL6B.H13CORE.0.PSM.A	BCL6B
CTCF.H13CORE.0.P.B	CTCF
CTCFL.H13CORE.0.P.B	CTCFL
FEZF1.H13CORE.0.P.B	FEZF1
GFI1.H13CORE.0.PSM.A	GFI1
GFI1B.H13CORE.0.PSM.A	GFI1B
GFI1B.H13CORE.1.S.C	GFI1B
GLI1.H13CORE.0.P.C	GLI1
GLI2.H13CORE.0.PSM.A	GLI2
GLI3.H13CORE.0.PS.A	GLI3
GLI3.H13CORE.1.M.C	GLI3
GLI4.H13CORE.0.P.C	GLI4
GLIS1.H13CORE.0.P.B	GLIS1
GLIS1.H13CORE.1.P.B	GLIS1
GLIS1.H13CORE.2.SM.B	GLIS1
GLIS2.H13CORE.0.SM.B	GLIS2
GLIS3.H13CORE.0.P.C	GLIS3
GLIS3.H13CORE.1.S.C	GLIS3
MTF1.H13CORE.0.SM.B	MTF1
MYNN.H13CORE.0.P.B	MYNN
MZF1.H13CORE.0.P.B	MZF1
OSR2.H13CORE.0.PSM.A	OSR2
OSR2.H13CORE.1.M.C	OSR2
OVOL1.H13CORE.0.SM.B	OVOL1
OVOL2.H13CORE.0.PSM.A	OVOL2
OZF.H13CORE.0.P.B	ZNF146
PRD14.H13CORE.0.P.B	PRDM14
PRDM1.H13CORE.0.S.B	PRDM1
PRDM1.H13CORE.1.PS.A	PRDM1
PRDM5.H13CORE.0.PSGI.A	PRDM5
PRDM6.H13CORE.0.P.B	PRDM6
RBAK.H13CORE.0.P.C	RBAK
SCRT1.H13CORE.0.PSM.A	SCRT1
SCRT2.H13CORE.0.PSM.A	SCRT2
SNAI1.H13CORE.0.PSM.A	SNAI1
SNAI2.H13CORE.0.PSM.A	SNAI2
SNAI3.H13CORE.0.S.C	SNAI3
TYY1.H13CORE.0.PSM.A	YY1
TYY1.H13CORE.1.S.B	YY1
TYY2.H13CORE.0.PS.A	YY2
TYY2.H13CORE.1.SM.B	YY2
TZAP.H13CORE.0.P.B	ZBTB48
WT1.H13CORE.0.P.B	WT1
WT1.H13CORE.1.P.B	WT1
Z280A.H13CORE.0.P.B	ZNF280A
Z324A.H13CORE.0.P.B	ZNF324
Z354A.H13CORE.0.P.B	ZNF354A
Z585A.H13CORE.0.P.C	ZNF585A
Z585B.H13CORE.0.P.C	ZNF585B
Z705G.H13CORE.0.P.C	ZNF705G
Z780A.H13CORE.0.P.C	ZNF780A
ZBT12.H13CORE.0.P.B	ZBTB12
ZBT14.H13CORE.0.P.C	ZBTB14
ZBT14.H13CORE.1.S.B	ZBTB14
ZBT16.H13CORE.0.P.B	ZBTB16
ZBT18.H13CORE.0.PSM.A	ZBTB18
ZBT20.H13CORE.0.SM.B	ZBTB20
ZBT24.H13CORE.0.P.B	ZBTB24
ZBT26.H13CORE.0.PSM.A	ZBTB26
ZBT26.H13CORE.1.SM.B	ZBTB26
ZBT40.H13CORE.0.P.B	ZBTB40
ZBT42.H13CORE.0.P.C	ZBTB42
ZBT44.H13CORE.0.P.C	ZBTB44
ZBT45.H13CORE.0.SM.B	ZBTB45
ZBT49.H13CORE.0.P.C	ZBTB49
ZBT7A.H13CORE.0.P.B	ZBTB7A
ZBT7A.H13CORE.1.SM.B	ZBTB7A
ZBT7B.H13CORE.0.SM.B	ZBTB7B
ZBT7C.H13CORE.0.S.B	ZBTB7C
ZBTB24.H13CORE.0.SG.A	ZBTB24
ZBTB40.H13CORE.0.PSG.A	ZBTB40
ZBTB47.H13CORE.0.PSG.A	ZBTB47
ZBTB6.H13CORE.0.P.B	ZBTB6
ZF64B.H13CORE.0.P.B	ZFP64
ZF64B.H13CORE.1.P.B	ZFP64
ZF69B.H13CORE.0.P.C	ZFP69B
ZFP1.H13CORE.0.PSM.A	ZFP1
ZFP14.H13CORE.0.P.C	ZFP14
ZFP28.H13CORE.0.P.B	ZFP28
ZFP3.H13CORE.0.P.C	ZFP3
ZFP37.H13CORE.0.P.C	ZFP37
ZFP41.H13CORE.0.SM.B	ZFP41
ZFP42.H13CORE.0.PM.A	ZFP42
ZFP69.H13CORE.0.P.C	ZFP69
ZFP82.H13CORE.0.P.C	ZFP82
ZFP90.H13CORE.0.P.C	ZFP90
ZFP90.H13CORE.1.P.C	ZFP90
ZFP91.H13CORE.0.SGI.A	ZFP91
ZFX.H13CORE.0.P.B	ZFX
ZIC1.H13CORE.0.P.B	ZIC1
ZIC1.H13CORE.1.M.B	ZIC1
ZIC1.H13CORE.2.S.B	ZIC1
ZIC2.H13CORE.0.P.B	ZIC2
ZIC3.H13CORE.0.P.B	ZIC3
ZIC3.H13CORE.1.S.B	ZIC3
ZIC3.H13CORE.2.M.B	ZIC3
ZIC4.H13CORE.0.SM.B	ZIC4
ZIC5.H13CORE.0.P.B	ZIC5
ZIC5.H13CORE.1.M.C	ZIC5
ZIC5.H13CORE.2.S.C	ZIC5
ZIK1.H13CORE.0.P.C	ZIK1
ZIM3.H13CORE.0.P.B	ZIM3
ZKSC1.H13CORE.0.P.B	ZKSCAN1
ZKSC8.H13CORE.0.P.B	ZKSCAN8
ZKSC8.H13CORE.1.P.B	ZKSCAN8
ZKSCAN4.H13CORE.0.SG.A	ZKSCAN4
ZN100.H13CORE.0.P.B	ZNF100
ZN100.H13CORE.1.P.B	ZNF100
ZN121.H13CORE.0.P.B	ZNF121
ZN124.H13CORE.0.P.C	ZNF124
ZN133.H13CORE.0.P.B	ZNF133
ZN135.H13CORE.0.P.C	ZNF135
ZN136.H13CORE.0.P.B	ZNF136
ZN140.H13CORE.0.P.B	ZNF140
ZN140.H13CORE.1.SM.B	ZNF140
ZN141.H13CORE.0.P.C	ZNF141
ZN143.H13CORE.0.P.B	ZNF143
ZN148.H13CORE.0.P.B	ZNF148
ZN154.H13CORE.0.P.C	ZNF154
ZN157.H13CORE.0.P.B	ZNF157
ZN160.H13CORE.0.P.C	ZNF160
ZN165.H13CORE.0.P.C	ZNF165
ZN177.H13CORE.0.SM.B	ZNF177
ZN180.H13CORE.0.P.C	ZNF180
