motif	cluster	gene_symbol
FOXP1_MA0481.4	C_FOXP4	Foxp1
FOXP2_MA0593.2	C_FOXP4	Foxp2
FOXP3_MA0850.1	C_FOXP4	Foxp3
FOXP4_MA2117.1	C_FOXP4	Foxp4
Foxq1_MA0040.2	C_Foxq1	Foxq1
FOXS1_MA2118.1	C_FOXP4	Foxs1
GABPA_MA0062.4	C_GABPA	Gabpa
GATA1_MA0035.5	C_Gata3	Gata1
GATA1TAL1_MA0140.3	C_GATA1::TAL1	Gata1::Tal1
GATA2_MA0036.4	C_Gata3	Gata2
Gata3_MA0037.5	C_Gata3	Gata3
GATA4_MA0482.3	C_Gata3	Gata4
GATA5_MA0766.3	C_Gata3	Gata5
GATA6_MA1104.3	C_Gata3	Gata6
GBX1_MA0889.2	C_PRRX2	Gbx1
GBX2_MA0890.2	C_Dlx2	Gbx2
GCM1_MA0646.2	C_GCM1	Gcm1
GCM2_MA0767.2	C_GCM2	Gcm2
GFI1_MA0038.3	C_GFI1	Gfi1
Gfi1B_MA0483.2	C_Gfi1B	Gfi1b
Gli1_MA1990.2	C_Gli2	Gli1
Gli2_MA0734.4	C_Gli2	Gli2
GLI3_MA1491.3	C_GLI3	Gli3
GLIS1_MA0735.2	C_GLIS1	Glis1
GLIS2_MA0736.1	C_GLIS2	Glis2
GLIS3_MA0737.1	C_GLIS3	Glis3
Gmeb1_MA0615.2	C_GMEB2	Gmeb1
GMEB2_MA0862.1	C_GMEB2	Gmeb2
GRHL1_MA0647.2	C_GRHL1	Grhl1
GRHL2_MA1105.3	C_GRHL2	Grhl2
GSC_MA0648.2	C_RHOXF1	Gsc
GSC2_MA0891.2	C_RHOXF1	Gsc2
GSX1_MA0892.2	C_mix-a	Gsx1
GSX2_MA0893.3	C_mix-a	Gsx2
Hand1_MA2123.1	C_Hand1	Hand1
Hand1Tcf3_MA0092.2	C_Hand1::Tcf3	Hand1::Tcf3
HAND2_MA1638.2	C_NEUROD1	Hand2
HES1_MA1099.3	C_ARNT2	Hes1
HES2_MA0616.3	C_Mlxip	Hes2
HES5_MA0821.2	C_Mlxip	Hes5
HES6_MA1493.1	C_HES6	Hes6
HES7_MA0822.1	C_HES7	Hes7
HESX1_MA0894.2	C_mix-a	Hesx1
HEY1_MA0823.1	C_Mlxip	Hey1
HEY2_MA0649.2	C_Mlxip	Hey2
Hic1_MA0739.2	C_Hic1	Hic1
HIC2_MA0738.2	C_HIC2	Hic2
